"","PRE_POST","Station","FechayHora","Species","Grupo","Cuando","hora_redondeo","hora"
"206","PRE","E33","04/09/2018 17:51","Gato",1,2018-09-04 17:51:00,2018-09-04 18:00:00,18
"207","PRE","E33","04/09/2018 18:03","Gato",1,2018-09-04 18:03:00,2018-09-04 18:00:00,18
"208","PRE","E33","04/09/2018 18:08","Gato",1,2018-09-04 18:08:00,2018-09-04 18:00:00,18
"209","PRE","E33","04/09/2018 18:08","Gato",1,2018-09-04 18:08:00,2018-09-04 18:00:00,18
"210","PRE","E33","04/09/2018 19:48","Gato",1,2018-09-04 19:48:00,2018-09-04 20:00:00,20
"211","PRE","E33","04/09/2018 22:16","Gato",1,2018-09-04 22:16:00,2018-09-04 22:00:00,22
"212","PRE","E33","04/09/2018 23:00","Gato",1,2018-09-04 23:00:00,2018-09-04 23:00:00,23
"213","PRE","E33","05/09/2018 7:20","Gato",1,2018-09-05 07:20:00,2018-09-05 07:00:00,7
"214","PRE","E33","05/09/2018 9:41","Gato",1,2018-09-05 09:41:00,2018-09-05 10:00:00,10
"215","PRE","E33","05/09/2018 10:38","Gato",1,2018-09-05 10:38:00,2018-09-05 11:00:00,11
"216","PRE","E33","05/09/2018 10:55","Gato",1,2018-09-05 10:55:00,2018-09-05 11:00:00,11
"217","PRE","E33","05/09/2018 10:58","Gato",1,2018-09-05 10:58:00,2018-09-05 11:00:00,11
"218","PRE","E33","05/09/2018 11:03","Gato",1,2018-09-05 11:03:00,2018-09-05 11:00:00,11
"219","PRE","E33","05/09/2018 11:16","Gato",1,2018-09-05 11:16:00,2018-09-05 11:00:00,11
"220","PRE","E33","05/09/2018 11:55","Gato",1,2018-09-05 11:55:00,2018-09-05 12:00:00,12
"221","PRE","E33","05/09/2018 13:57","Gato",1,2018-09-05 13:57:00,2018-09-05 14:00:00,14
"222","PRE","E34","06/09/2018 13:57","Gato",1,2018-09-06 13:57:00,2018-09-06 14:00:00,14
"223","PRE","E33","05/09/2018 14:10","Gato",1,2018-09-05 14:10:00,2018-09-05 14:00:00,14
"224","PRE","E33","05/09/2018 14:25","Gato",1,2018-09-05 14:25:00,2018-09-05 14:00:00,14
"225","PRE","E33","05/09/2018 14:30","Gato",1,2018-09-05 14:30:00,2018-09-05 15:00:00,15
"226","PRE","E34","06/09/2018 14:30","Gato",1,2018-09-06 14:30:00,2018-09-06 15:00:00,15
"227","PRE","E33","05/09/2018 17:04","Gato",1,2018-09-05 17:04:00,2018-09-05 17:00:00,17
"228","PRE","E33","05/09/2018 17:54","Gato",1,2018-09-05 17:54:00,2018-09-05 18:00:00,18
"229","PRE","E33","05/09/2018 17:54","Gato",1,2018-09-05 17:54:00,2018-09-05 18:00:00,18
"230","PRE","E33","05/09/2018 17:54","Gato",1,2018-09-05 17:54:00,2018-09-05 18:00:00,18
"231","PRE","E33","05/09/2018 17:56","Gato",1,2018-09-05 17:56:00,2018-09-05 18:00:00,18
"232","PRE","E33","05/09/2018 18:05","Gato",1,2018-09-05 18:05:00,2018-09-05 18:00:00,18
"233","PRE","E33","05/09/2018 18:05","Gato",1,2018-09-05 18:05:00,2018-09-05 18:00:00,18
"234","PRE","E33","05/09/2018 18:05","Gato",1,2018-09-05 18:05:00,2018-09-05 18:00:00,18
"235","PRE","E33","06/09/2018 9:23","Gato",1,2018-09-06 09:23:00,2018-09-06 09:00:00,9
"236","PRE","E33","06/09/2018 10:05","Gato",1,2018-09-06 10:05:00,2018-09-06 10:00:00,10
"237","PRE","E33","06/09/2018 10:13","Gato",1,2018-09-06 10:13:00,2018-09-06 10:00:00,10
"238","PRE","E33","06/09/2018 10:30","Gato",1,2018-09-06 10:30:00,2018-09-06 11:00:00,11
"239","PRE","E33","06/09/2018 10:35","Gato",1,2018-09-06 10:35:00,2018-09-06 11:00:00,11
"240","PRE","E33","06/09/2018 10:39","Gato",1,2018-09-06 10:39:00,2018-09-06 11:00:00,11
"241","PRE","E33","06/09/2018 10:39","Gato",1,2018-09-06 10:39:00,2018-09-06 11:00:00,11
"242","PRE","E33","06/09/2018 10:49","Gato",1,2018-09-06 10:49:00,2018-09-06 11:00:00,11
"243","PRE","E33","06/09/2018 10:54","Gato",1,2018-09-06 10:54:00,2018-09-06 11:00:00,11
"244","PRE","E33","06/09/2018 10:54","Gato",1,2018-09-06 10:54:00,2018-09-06 11:00:00,11
"245","PRE","E33","06/09/2018 11:08","Gato",1,2018-09-06 11:08:00,2018-09-06 11:00:00,11
"246","PRE","E33","06/09/2018 11:14","Gato",1,2018-09-06 11:14:00,2018-09-06 11:00:00,11
"247","PRE","E33","06/09/2018 11:17","Gato",1,2018-09-06 11:17:00,2018-09-06 11:00:00,11
"248","PRE","E33","06/09/2018 11:29","Gato",1,2018-09-06 11:29:00,2018-09-06 11:00:00,11
